Phenotype,Collapsing model,Phenotypic category,P value,No. samples,No. cases,No. cases with QV,Proportion cases with QV,No. controls,No. controls with QV,Proportion controls with QV,Odds ratio,Odds ratio LCI,Odds ratio UCI
union#M5414#Radiculopathy Thoracic region,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0396,100646,31,1,0.032258064516129,100615,130,0.00129205386870745,25.7654,3.4876,190.3458
40006#C40#Malignant neoplasm of bone and articular cartilage of limbs,ptv5pcnt,Chapter II Neoplasms,0.0732,220244,51,1,0.0196078431372549,220193,327,0.00148506083299651,13.4475,1.8521,97.6376
41202#M13#Other arthritis,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0981,256147,2323,7,0.00301334481274214,253824,388,0.00152861825516894,1.9742,0.9339,4.1735
41202#I81#Portal vein thrombosis,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.078,222044,53,1,0.0188679245283019,221991,339,0.00152708893603795,12.5739,1.7332,91.2171
41202#K049#Other and unspecified diseases of pulp and periapical tissues,ptv5pcnt,Chapter XI Diseases of the digestive system,0.024,195245,159,2,0.0125786163522013,195086,290,0.00148652389202711,8.5568,2.1112,34.6815
union#Q230#Congenital stenosis of aortic valve,ptv5pcnt,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0776,403403,54,1,0.0185185185185185,403349,602,0.00149250401017481,12.6229,1.7428,91.4263
20002#1214#testicular problems (not cancer),ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0572,174806,588,3,0.00510204081632653,174218,255,0.00146368343110356,3.4985,1.1176,10.9514
41202#C830#Small cell B-cell lymphoma,ptv5pcnt,Chapter II Neoplasms,0.0492,252068,241,2,0.00829875518672199,251827,367,0.00145734968847661,5.7337,1.4203,23.1464
41202#H104#Chronic conjunctivitis,ptv5pcnt,Chapter VII Diseases of the eye and adnexa,0.0477,353869,33,1,0.0303030303030303,353836,523,0.00147808589289954,21.111,2.8793,154.7837
131951#Source of report of M72 fibroblastic disorders,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0814,344009,21307,42,0.00197118317923687,322702,474,0.00146884741960075,1.3427,0.979,1.8414
41202#M199#Arthrosis unspecified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0036,256699,6818,20,0.00293341155764154,249881,359,0.00143668386151808,2.0449,1.3026,3.21
41202#L920#Granuloma annulare,ptv5pcnt,Chapter XII Diseases of the skin and subcutaneous tissue,0.0905,236725,63,1,0.0158730158730159,236662,355,0.00150002957804802,10.7363,1.4846,77.6428
union#N323#Diverticulum of bladder,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0704,139583,1553,5,0.00321957501609788,138030,192,0.0013910019560965,2.3188,0.9529,5.6426
41202#M868#Other osteomyelitis,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0751,297663,53,1,0.0188679245283019,297610,437,0.001468364638285,13.0775,1.8038,94.8098
41202#M502#Other cervical disc displacement,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0531,297860,250,2,0.008,297610,437,0.001468364638285,5.4841,1.3596,22.1209
40011#5#(9590-9999) Hematologic (Leukemias Lymphomas and related disorders),ptv5pcnt,Chapter II Neoplasms,0.0701,336346,6280,15,0.00238853503184713,330066,490,0.00148455157453358,1.6104,0.9628,2.6935
union#M16#Coxarthrosis [arthrosis of hip],ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0077,144066,23247,51,0.00219383146212415,120819,170,0.00140706345856198,1.5604,1.1408,2.1344
41202#I609#Subarachnoid haemorrhage unspecified,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0728,322949,633,3,0.004739336492891,322316,487,0.00151093957482719,3.1469,1.0087,9.8176
20001#1007#nasal cavity cancer,ptv5pcnt,Chapter II Neoplasms,0.0583,373549,40,1,0.025,373509,560,0.00149929452837817,17.0764,2.342,124.5114
41202#R29#Other symptoms and signs involving the nervous and musculoskeletal systems,ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.042,241004,3489,10,0.00286615075952995,237515,346,0.00145675009999368,1.9703,1.0498,3.6979
20002#1465#osteoarthritis,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0564,300799,34849,66,0.0018938850469167,265950,389,0.00146268095506674,1.2954,0.9976,1.682
130915#Source of report of F45 somatoform disorders,ptv5pcnt,Chapter V Mental and behavioural disorders,0.0021,349492,2634,11,0.00417615793470008,346858,501,0.00144439511269742,2.8992,1.5933,5.2756
20002#1197#kidney stone|ureter stone|bladder stone,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0014,201697,3294,13,0.00394656952034001,198403,285,0.00143647021466409,2.7543,1.5781,4.8072
union#M2402#Loose body in joint Upper arm,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.012,95682,126,2,0.0158730158730159,95556,123,0.00128720331533342,12.5142,3.0607,51.1657
41202#Q658#Other congenital deformities of hip,ptv5pcnt,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0727,249299,50,1,0.02,249249,375,0.00150451957680873,13.5442,1.8654,98.3413
union#M8937#Hypertrophy of bone Ankle and foot,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0716,139712,54,1,0.0185185185185185,139658,191,0.00136762663076945,13.7772,1.8956,100.1336
41202#M1394#Arthritis unspecified Hand,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0205,211816,387,3,0.00775193798449612,211429,312,0.00147567268444726,5.2864,1.6883,16.553
41202#J448#Other specified chronic obstructive pulmonary disease,ptv5pcnt,Chapter X Diseases of the respiratory system,0.0937,372738,65,1,0.0153846153846154,372673,563,0.00151070777866924,10.3272,1.4302,74.5719
union#J91#Pleural effusion in conditions classified elsewhere,ptv5pcnt,Chapter X Diseases of the respiratory system,0.0314,151239,472,3,0.00635593220338983,150767,215,0.001426041507757,4.4792,1.4281,14.0484
union#A16#Respiratory tuberculosis not confirmed bacteriologically or histologically,ptv5pcnt,Chapter I Certain infectious and parasitic diseases,0.0349,225889,508,3,0.00590551181102362,225381,312,0.00138432254715349,4.2854,1.37,13.4046
41202#D690#Allergic purpura,ptv5pcnt,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.059,398397,41,1,0.024390243902439,398356,589,0.00147857695126972,16.8831,2.3171,123.0155
union#F070#Organic personality disorder,ptv5pcnt,Chapter V Mental and behavioural disorders,0.0499,166223,34,1,0.0294117647058824,166189,249,0.0014982941109219,20.1947,2.7513,148.2316
20002#1364#breast disease (not cancer),ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.061,153995,3293,9,0.00273307014880049,150702,215,0.00142665658053642,1.9182,0.9838,3.7403
41202#M8414#Nonunion of fracture [pseudarthrosis] Hand,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0704,203279,48,1,0.0208333333333333,203231,308,0.00151551682568112,14.0179,1.9279,101.9239
union#M4788#Other spondylosis Sacral and sacrococcygeal region,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0716,139712,54,1,0.0185185185185185,139658,191,0.00136762663076945,13.7772,1.8956,100.1336
41202#N85#Other noninflammatory disorders of uterus except cervix,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0841,160778,2094,0,0,158684,249,0.00156915631065514,0,,
41202#M169#Coxarthrosis unspecified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0907,279565,14229,29,0.00203809122215194,265336,383,0.0014434528296198,1.4128,0.9682,2.0615
union#M2536#Other instability of joint Lower leg,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0652,139707,49,1,0.0204081632653061,139658,191,0.00136762663076945,15.2124,2.0891,110.7748
union#N76#Other inflammation of vagina and vulva,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0228,95927,4576,1,0.000218531468531469,91351,132,0.00144497597180108,0.151,0.0211,1.0806
union#R098#Other specified symptoms and signs involving the circulatory and respiratory systems,ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0818,86687,1189,4,0.00336417157275021,85498,115,0.00134506070317434,2.5062,0.9233,6.8026
41202#N202#Calculus of kidney with calculus of ureter,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.055,217915,579,3,0.00518134715025907,217336,318,0.00146317223101557,3.5544,1.1369,11.1124
40011#9450#Oligodendroglioma NOS,ptv5pcnt,Chapter II Neoplasms,0.0469,419387,32,1,0.03125,419355,628,0.00149753788556235,21.5085,2.9316,157.8029
41202#I119#Hypertensive heart disease without (congestive) heart failure,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0599,239362,39,1,0.0256410256410256,239323,378,0.0015794553803855,16.635,2.2781,121.473
union#C503#Malignant neoplasm: Lower-inner quadrant of breast,ptv5pcnt,Chapter II Neoplasms,0.0653,135084,949,4,0.00421496311907271,134135,210,0.00156558690871137,2.6994,1.0017,7.2746
union#G570#Lesion of sciatic nerve,ptv5pcnt,Chapter VI Diseases of the nervous system,0.0891,277140,62,1,0.0161290322580645,277078,416,0.00150138228224543,10.9025,1.5078,78.833
41202#N25#Disorders resulting from impaired renal tubular function,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0539,315922,36,1,0.0277777777777778,315886,485,0.00153536402373008,18.5803,2.5404,135.8974
union#M7960#Pain in limb Multiple sites,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0307,127928,856,4,0.00467289719626168,127072,171,0.00134569377990431,3.4841,1.2898,9.4111
union#G454#Transient global amnesia,ptv5pcnt,Chapter VI Diseases of the nervous system,0.0816,277747,669,3,0.00448430493273543,277078,416,0.00150138228224543,2.9957,0.9598,9.3503
41202#M1990#Arthrosis unspecified Multiple sites,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0000989,233824,148,4,0.027027027027027,233676,366,0.00156627124736815,17.7072,6.522,48.0752
union#M1096#Gout unspecified Lower leg,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0008815,80839,315,4,0.0126984126984127,80524,104,0.00129154041031245,9.9456,3.641,27.1665
40011#8261#Adenocarcinoma in villous adenoma,ptv5pcnt,Chapter II Neoplasms,0.0585,362599,257,2,0.00778210116731518,362342,547,0.00150962350486557,5.1876,1.2871,20.9083
union#H499#Paralytic strabismus unspecified,ptv5pcnt,Chapter VII Diseases of the eye and adnexa,0.0831,264673,59,1,0.0169491525423729,264614,388,0.00146628674219807,11.7413,1.6222,84.9823
41202#E049#Nontoxic goitre unspecified,ptv5pcnt,Chapter IV Endocrine nutritional and metabolic diseases,0.0287,270354,444,3,0.00675675675675676,269910,396,0.00146715571857286,4.6299,1.4811,14.4725
union#M77#Other enthesopathies,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0321,160064,28000,54,0.00192857142857143,132064,182,0.00137811969953962,1.4002,1.0332,1.8976
130855#Source of report of F10 mental and behavioural disorders due to use of alcohol,ptv5pcnt,Chapter V Mental and behavioural disorders,0.0315,268190,10864,8,0.000736377025036819,257326,401,0.00155833456393835,0.4722,0.2344,0.9509
41202#I604#Subarachnoid haemorrhage from basilar artery,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0609,234345,42,1,0.0238095238095238,234303,349,0.00148952424851581,16.3501,2.2427,119.1962
41202#C503#Malignant neoplasm: Lower-inner quadrant of breast,ptv5pcnt,Chapter II Neoplasms,0.0132,160277,561,4,0.0071301247771836,159716,253,0.00158406170953442,4.5263,1.6798,12.1962
41202#M10#Gout,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.098,168427,762,3,0.00393700787401575,167665,239,0.00142546148570065,2.7689,0.8847,8.6656
41202#Block D50-D53#D50-D53 Nutritional anaemias,ptv5pcnt,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0471,375562,9881,23,0.00232769962554397,365681,545,0.00149037002195903,1.5631,1.0294,2.3736
131417#Source of report of I95 hypotension,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0534,359471,16639,16,0.000961596249774626,342832,535,0.00156053110561441,0.6158,0.3744,1.0128
130899#Source of report of F34 persistent mood affective disorders,ptv5pcnt,Chapter V Mental and behavioural disorders,0.0301,357347,795,4,0.0050314465408805,356552,517,0.001449998878144,3.4825,1.2989,9.3371
41202#R900#Intracranial space-occupying lesion,ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0322,220290,189,2,0.0105820105820106,220101,323,0.00146750809855475,7.2773,1.7989,29.4398
41202#L92#Granulomatous disorders of skin and subcutaneous tissue,ptv5pcnt,Chapter XII Diseases of the skin and subcutaneous tissue,0.0087,336922,529,4,0.00756143667296786,336393,502,0.00149230215848725,5.0979,1.8988,13.6871
41202#M7965#Pain in limb Pelvic region and thigh,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0145,250862,645,4,0.0062015503875969,250217,356,0.00142276503994533,4.3798,1.6298,11.7697
union#K754#Autoimmune hepatitis,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0784,109167,311,2,0.00643086816720257,108856,160,0.00146983170426986,4.3971,1.0854,17.8137
union#M139#Arthritis unspecified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0102,140664,24994,51,0.00204048971753221,115670,154,0.00133137373562722,1.5337,1.1171,2.1057
42013#Source of subarachnoid haemorrhage report,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0926,369848,1608,5,0.00310945273631841,368240,542,0.0014718661742342,2.1161,0.876,5.1115
41202#C48#Malignant neoplasm of retroperitoneum and peritoneum,ptv5pcnt,Chapter II Neoplasms,0.0769,188317,293,2,0.0068259385665529,188024,291,0.00154767476492363,4.4339,1.0984,17.8983
union#Block M00-M03#M00-M03 Infectious arthropathies,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0431,109691,880,4,0.00454545454545455,108811,159,0.00146124932221926,3.1203,1.1543,8.4351
union#Q602#Renal agenesis unspecified,ptv5pcnt,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0679,403396,47,1,0.0212765957446809,403349,602,0.00149250401017481,14.5438,2.0024,105.6326
131961#Source of report of M79 other soft tissue disorders not elsewhere classified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0091,385330,74305,140,0.00188412623645784,311025,453,0.00145647455992284,1.2942,1.0706,1.5645
40002#Block N30-N39#N30-N39 Other diseases of urinary system,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0747,325151,303,2,0.0066006600660066,324848,479,0.00147453578288923,4.4995,1.1169,18.1267
40002#F03#Unspecified dementia,ptv5pcnt,Chapter V Mental and behavioural disorders,0.03,308420,431,3,0.00696055684454756,307989,474,0.00153901600381832,4.5474,1.4556,14.2064
40002#I119#Hypertensive heart disease without (congestive) heart failure,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0948,232581,337,2,0.00593471810089021,232244,354,0.00152425896901535,3.9108,0.9702,15.7636
40002#E149#Unspecified diabetes mellitus; Without complications,ptv5pcnt,Chapter IV Endocrine nutritional and metabolic diseases,0.0983,255747,724,3,0.00414364640883978,255023,384,0.00150574654050811,2.7592,0.8839,8.6132
41202#Q25#Congenital malformations of great arteries,ptv5pcnt,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0748,416236,52,1,0.0192307692307692,416184,621,0.00149212848163312,13.1212,1.8104,95.0991
41202#R55#Syncope and collapse,ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0888,226758,10452,22,0.00210486031381554,216306,312,0.00144240104296691,1.4602,0.9472,2.2511
41202#M6591#Synovitis and tenosynovitis unspecified Shoulder region,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.053,297647,37,1,0.027027027027027,297610,437,0.001468364638285,18.8897,2.5841,138.0847
41202#D36#Benign neoplasm of other and unspecified sites,ptv5pcnt,Chapter II Neoplasms,0.0437,297925,848,4,0.00471698113207547,297077,456,0.00153495558390586,3.0829,1.1494,8.2686
41202#M4780#Other spondylosis Multiple sites in spine,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0542,254076,254,2,0.0078740157480315,253822,371,0.00146165423012978,5.4219,1.3435,21.8802
20002#1295#joint disorder,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0775,286186,53374,98,0.00183609997377,232812,348,0.00149476831091181,1.2288,0.9818,1.5378
41202#D074#Carcinoma in situ: Penis,ptv5pcnt,Chapter II Neoplasms,0.0826,137988,58,1,0.0172413793103448,137930,204,0.00147901109258319,11.8443,1.6323,85.9471
41202#Block M70-M79#M70-M79 Other soft tissue disorders,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0358,315937,33103,64,0.00193335951424342,282834,411,0.00145314919705552,1.3311,1.0226,1.7326
41202#L818#Other specified disorders of pigmentation,ptv5pcnt,Chapter XII Diseases of the skin and subcutaneous tissue,0.0891,292548,62,1,0.0161290322580645,292486,439,0.00150092654007371,10.9058,1.5084,78.8473
131139#Source of report of H05 disorders of orbit,ptv5pcnt,Chapter VII Diseases of the eye and adnexa,0.0193,419387,1014,5,0.00493096646942801,418373,624,0.00149149204179046,3.3175,1.373,8.0158
union#B199#Unspecified viral hepatitis without hepatic coma,ptv5pcnt,Chapter I Certain infectious and parasitic diseases,0.0817,277297,58,1,0.0172413793103448,277239,406,0.00146444042865542,11.9624,1.6524,86.5982
131861#Source of report of M11 other crystal arthropathies,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0215,319244,1024,5,0.0048828125,318220,483,0.00151781786185658,3.2279,1.3346,7.8071
41202#M173#Other post-traumatic gonarthrosis,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0208,211848,150,2,0.0133333333333333,211698,309,0.0014596264489981,9.2447,2.2804,37.4784
131371#Source of report of I65 occlusion and stenosis of precerebral arteries not resulting in cerebral infarction,ptv5pcnt,Chapter IX Diseases of the circulatory system,0.0989,286643,2392,7,0.00292642140468227,284251,424,0.00149163943134765,1.9647,0.9299,4.1509
union#M1995#Arthrosis unspecified Pelvic region and thigh,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0101,118230,322,3,0.0093167701863354,117908,159,0.00134850900702242,6.9645,2.2107,21.9405
union#C509#Malignant neoplasm: Breast unspecified,ptv5pcnt,Chapter II Neoplasms,0.0339,148039,13294,11,0.000827440950804875,134745,210,0.00155849938773238,0.5305,0.2893,0.973
41202#D165#Benign neoplasm: Lower jaw bone,ptv5pcnt,Chapter II Neoplasms,0.0641,297120,43,1,0.0232558139534884,297077,456,0.00153495558390586,15.4877,2.127,112.7722
131131#Source of report of H01 other inflammation of eyelid,ptv5pcnt,Chapter VII Diseases of the eye and adnexa,0.0996,365901,5080,3,0.000590551181102362,360821,551,0.00152707298078549,0.3864,0.1242,1.2021
union#M750#Adhesive capsulitis of shoulder,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0515,117307,2330,7,0.00300429184549356,114977,161,0.0014002800560112,2.1489,1.0071,4.5852
40006#C88#Malignant immunoproliferative diseases,ptv5pcnt,Chapter II Neoplasms,0.0903,237193,63,1,0.0158730158730159,237130,355,0.0014970691182052,10.7576,1.4875,77.7966
41202#K622#Anal prolapse,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0627,238025,44,1,0.0227272727272727,237981,349,0.00146650362844093,15.8347,2.1744,115.3123
20002#1663#abnormal smear (cervix),ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0116,222397,583,4,0.00686106346483705,221814,326,0.00146969983860351,4.6937,1.7452,12.6237
40011#9695#Follicular lymphoma grade 1,ptv5pcnt,Chapter II Neoplasms,0.0916,419387,64,1,0.015625,419323,628,0.00149765216789921,10.5827,1.4655,76.4218
20002#1563#urticaria,ptv5pcnt,Chapter XII Diseases of the skin and subcutaneous tissue,0.0535,321398,253,2,0.00790513833992095,321145,468,0.00145728564978437,5.4598,1.3539,22.0168
130657#Source of report of D68 other coagulation defects,ptv5pcnt,Chapter III Diseases of the blood and blood-forming organs and certain disorders involving the immune mechanism,0.0875,390722,2193,0,0,388529,592,0.00152369578590015,0,,
union#J381#Polyp of vocal cord and larynx,ptv5pcnt,Chapter X Diseases of the respiratory system,0.0172,144555,369,3,0.00813008130081301,144186,208,0.00144258111051004,5.6738,1.8067,17.8179
41202#M109#Gout unspecified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0797,170252,647,3,0.00463678516228748,169605,260,0.00153297367412517,3.0341,0.9697,9.4941
40006#C820#Follicular lymphoma grade I,ptv5pcnt,Chapter II Neoplasms,0.0915,318943,64,1,0.015625,318879,477,0.00149586520278852,10.5954,1.4665,76.5507
41202#D361#Benign neoplasm: Peripheral nerves and autonomic nervous system,ptv5pcnt,Chapter II Neoplasms,0.071,297693,616,3,0.00487012987012987,297077,456,0.00153495558390586,3.1834,1.0201,9.9349
union#K46#Unspecified abdominal hernia,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0509,98628,4400,11,0.0025,94228,120,0.00127350681326145,1.9655,1.0592,3.6471
union#M5412#Radiculopathy Cervical region,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0655,125886,299,2,0.00668896321070234,125587,173,0.00137753111388918,4.8817,1.2056,19.7679
41202#M167#Other secondary coxarthrosis,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0291,297789,179,2,0.0111731843575419,297610,437,0.001468364638285,7.684,1.9007,31.0633
union#L891#Stage II decubitus ulcer,ptv5pcnt,Chapter XII Diseases of the skin and subcutaneous tissue,0.0815,160708,2031,0,0,158677,243,0.00153141287017022,0,,
union#R84#Abnormal findings in specimens from respiratory organs and thorax,ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0078,81312,284,3,0.0105633802816901,81028,112,0.00138223823863356,7.7131,2.4359,24.4237
union#J450#Predominantly allergic asthma,ptv5pcnt,Chapter X Diseases of the respiratory system,0.0000439,166764,1667,11,0.00659868026394721,165097,234,0.00141734858901131,4.6799,2.5514,8.5841
union#J38#Diseases of vocal cords and larynx not elsewhere classified,ptv5pcnt,Chapter X Diseases of the respiratory system,0.035,163716,3505,10,0.00285306704707561,160211,221,0.00137943087553289,2.0713,1.0982,3.907
union#N132#Hydronephrosis with renal and ureteral calculous obstruction,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0082,170432,1511,7,0.00463269358041032,168921,248,0.00146814191249164,3.1655,1.4909,6.7209
41202#H029#Disorder of eyelid unspecified,ptv5pcnt,Chapter VII Diseases of the eye and adnexa,0.0627,316447,984,4,0.0040650406504065,315463,472,0.00149621350205888,2.7239,1.0161,7.3024
41202#M796#Pain in limb,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0788,272265,6801,16,0.00235259520658727,265464,394,0.00148419371364856,1.5865,0.9618,2.6168
union#M518#Other specified intervertebral disc disorders,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.058,139939,281,2,0.00711743772241993,139658,191,0.00136762663076945,5.2344,1.2932,21.1863
132133#Source of report of N85 other noninflammatory disorders of uterus except cervix,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0116,226159,7097,3,0.000422713822742004,219062,334,0.00152468250997435,0.2769,0.0888,0.8633
union#M79#Other soft tissue disorders not elsewhere classified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0099,196151,74432,140,0.00188091143594153,121719,170,0.00139665951905619,1.3474,1.0771,1.6855
131889#Source of report of M25 other joint disorders not elsewhere classified,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0021,399403,77139,145,0.00187972361581042,322264,449,0.00139326763150709,1.3498,1.1192,1.628
3606#Chest pain or discomfort walking normally,ptv5pcnt,Chapter XVIII Symptoms signs and abnormal clinical and laboratory findings not elsewhere classified,0.0686,63898,11525,9,0.000780911062906725,52373,77,0.0014702232066141,0.5308,0.266,1.059
union#C65#Malignant neoplasm of renal pelvis,ptv5pcnt,Chapter II Neoplasms,0.0402,202515,202,2,0.0099009900990099,202313,314,0.00155205053555629,6.4331,1.5908,26.0154
union#M75#Shoulder lesions,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0023,158592,28984,62,0.00213911123378416,129608,174,0.00134250972162212,1.5946,1.193,2.1315
union#M118#Other specified crystal arthropathies,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0202,112346,166,2,0.0120481927710843,112180,145,0.00129256551970048,9.4226,2.3147,38.3574
union#G458#Other transient cerebral ischaemic attacks and related syndromes,ptv5pcnt,Chapter VI Diseases of the nervous system,0.0348,277271,193,2,0.0103626943005181,277078,416,0.00150138228224543,6.9639,1.7233,28.1408
union#K047#Periapical abscess without sinus,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0771,161019,1536,5,0.00325520833333333,159483,231,0.00144843024021369,2.2515,0.927,5.4684
union#K639#Disease of intestine unspecified,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0483,144809,1309,5,0.00381970970206264,143500,212,0.00147735191637631,2.5916,1.0659,6.3013
union#K13#Other diseases of lip and oral mucosa,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0996,157826,6579,15,0.00227998176014592,151247,220,0.00145457430560606,1.5688,0.9293,2.6483
41202#G310#Circumscribed brain atrophy,ptv5pcnt,Chapter VI Diseases of the nervous system,0.0702,384103,48,1,0.0208333333333333,384055,581,0.00151280415565479,14.0431,1.9342,101.956
41202#M7126#M7126 Synovial cyst of popliteal space [Baker]-Lower Leg,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0177,297747,137,2,0.0145985401459854,297610,437,0.001468364638285,10.0745,2.4861,40.8259
union#Q65#Congenital deformities of hip,ptv5pcnt,Chapter XVII Congenital malformations deformations and chromosomal abnormalities,0.0728,265201,298,2,0.00671140939597315,264903,391,0.00147601197419433,4.571,1.1338,18.4278
40006#D06#Carcinoma in situ of cervix uteri,ptv5pcnt,Chapter II Neoplasms,0.0709,175502,3418,1,0.000292568753657109,172084,266,0.00154575672346064,0.189,0.0265,1.3474
41202#H653#Chronic mucoid otitis media,ptv5pcnt,Chapter VIII Diseases of the ear and mastoid process,0.0258,373730,723,4,0.00553250345781466,373007,567,0.00152007871165957,3.6543,1.3631,9.797
union#C482#Malignant neoplasm: Peritoneum unspecified,ptv5pcnt,Chapter II Neoplasms,0.0699,146383,271,2,0.00738007380073801,146112,231,0.00158097897503285,4.6953,1.1613,18.9843
union#M775#Other enthesopathy of foot,ptv5pcnt,Chapter XIII Diseases of the musculoskeletal system and connective tissue,0.0336,92796,201,2,0.0099502487562189,92595,130,0.00140396349694908,7.1484,1.7567,29.0888
union#K830#Cholangitis,ptv5pcnt,Chapter XI Diseases of the digestive system,0.0622,124863,1458,5,0.00342935528120713,123405,176,0.00142619829018273,2.4094,0.989,5.8695
union#N814#Uterovaginal prolapse unspecified,ptv5pcnt,Chapter XIV Diseases of the genitourinary system,0.0764,94948,3717,10,0.00269034167339252,91231,132,0.00144687660992426,1.8617,0.9781,3.5438
